strategy,evaluation_scope,feature_set,model,fallback_threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
system_specific_threshold,M1_CV,common13,xgboost_depth3,0.4,61,35,26,0.7653846153846153,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.2,28,7,7,19
system_specific_threshold,M1_to_M2,common13,xgboost_depth3,0.4,51,30,21,0.7904761904761906,0.7894736842105263,0.7142857142857143,0.75,0.13333333333333333,26,4,6,15
system_specific_threshold,M2_CV,common13,xgboost_depth3,0.4,51,30,21,0.8452380952380952,0.782608695652174,0.8571428571428571,0.8181818181818182,0.16666666666666666,25,5,3,18
system_specific_threshold,M2_to_M1,common13,xgboost_depth3,0.4,61,35,26,0.7412087912087912,0.7391304347826086,0.6538461538461539,0.6938775510204082,0.17142857142857143,29,6,9,17
system_specific_threshold,Pooled_M1_M2_group_CV,common13,xgboost_depth3,0.4,112,65,47,0.8716857610474632,0.851063829787234,0.851063829787234,0.851063829787234,0.1076923076923077,58,7,7,40
system_specific_threshold,M1_CV,common13,xgboost_depth3,0.5,61,35,26,0.7653846153846153,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.2,28,7,7,19
system_specific_threshold,M1_to_M2,common13,xgboost_depth3,0.5,51,30,21,0.7904761904761906,0.7894736842105263,0.7142857142857143,0.75,0.13333333333333333,26,4,6,15
system_specific_threshold,M2_CV,common13,xgboost_depth3,0.5,51,30,21,0.8452380952380952,0.782608695652174,0.8571428571428571,0.8181818181818182,0.16666666666666666,25,5,3,18
system_specific_threshold,M2_to_M1,common13,xgboost_depth3,0.5,61,35,26,0.7412087912087912,0.7391304347826086,0.6538461538461539,0.6938775510204082,0.17142857142857143,29,6,9,17
system_specific_threshold,Pooled_M1_M2_group_CV,common13,xgboost_depth3,0.5,112,65,47,0.8716857610474632,0.851063829787234,0.851063829787234,0.851063829787234,0.1076923076923077,58,7,7,40
system_specific_threshold,M1_CV,common13,xgboost_depth3,0.6,61,35,26,0.7653846153846153,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.2,28,7,7,19
system_specific_threshold,M1_to_M2,common13,xgboost_depth3,0.6,51,30,21,0.7904761904761906,0.7894736842105263,0.7142857142857143,0.75,0.13333333333333333,26,4,6,15
system_specific_threshold,M2_CV,common13,xgboost_depth3,0.6,51,30,21,0.8452380952380952,0.782608695652174,0.8571428571428571,0.8181818181818182,0.16666666666666666,25,5,3,18
system_specific_threshold,M2_to_M1,common13,xgboost_depth3,0.6,61,35,26,0.7412087912087912,0.7391304347826086,0.6538461538461539,0.6938775510204082,0.17142857142857143,29,6,9,17
system_specific_threshold,Pooled_M1_M2_group_CV,common13,xgboost_depth3,0.6,112,65,47,0.8716857610474632,0.851063829787234,0.851063829787234,0.851063829787234,0.1076923076923077,58,7,7,40
system_specific_threshold,M1_CV,standard_common,dummy_most_frequent,0.4,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
system_specific_threshold,M1_to_M2,standard_common,dummy_most_frequent,0.4,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
system_specific_threshold,M2_CV,standard_common,dummy_most_frequent,0.4,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
system_specific_threshold,M2_to_M1,standard_common,dummy_most_frequent,0.4,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
system_specific_threshold,Pooled_M1_M2_group_CV,standard_common,dummy_most_frequent,0.4,112,65,47,0.5,0.0,0.0,0.0,0.0,65,0,47,0
system_specific_threshold,M1_CV,standard_common,dummy_most_frequent,0.5,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
system_specific_threshold,M1_to_M2,standard_common,dummy_most_frequent,0.5,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
system_specific_threshold,M2_CV,standard_common,dummy_most_frequent,0.5,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
system_specific_threshold,M2_to_M1,standard_common,dummy_most_frequent,0.5,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
system_specific_threshold,Pooled_M1_M2_group_CV,standard_common,dummy_most_frequent,0.5,112,65,47,0.5,0.0,0.0,0.0,0.0,65,0,47,0
system_specific_threshold,M1_CV,standard_common,dummy_most_frequent,0.6,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
system_specific_threshold,M1_to_M2,standard_common,dummy_most_frequent,0.6,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
system_specific_threshold,M2_CV,standard_common,dummy_most_frequent,0.6,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
system_specific_threshold,M2_to_M1,standard_common,dummy_most_frequent,0.6,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
system_specific_threshold,Pooled_M1_M2_group_CV,standard_common,dummy_most_frequent,0.6,112,65,47,0.5,0.0,0.0,0.0,0.0,65,0,47,0
system_specific_threshold,M1_CV,standard_common,extra_trees_depth3,0.4,61,35,26,0.512087912087912,0.4375,0.5384615384615384,0.4827586206896552,0.5142857142857142,17,18,12,14
system_specific_threshold,M1_to_M2,standard_common,extra_trees_depth3,0.4,51,30,21,0.43333333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4666666666666667,16,14,14,7
system_specific_threshold,M2_CV,standard_common,extra_trees_depth3,0.4,51,30,21,0.6142857142857143,0.6,0.42857142857142855,0.5,0.2,24,6,12,9
system_specific_threshold,M2_to_M1,standard_common,extra_trees_depth3,0.4,61,35,26,0.5879120879120879,0.5454545454545454,0.46153846153846156,0.5,0.2857142857142857,25,10,14,12
system_specific_threshold,Pooled_M1_M2_group_CV,standard_common,extra_trees_depth3,0.4,112,65,47,0.5849427168576105,0.5384615384615384,0.44680851063829785,0.4883720930232558,0.27692307692307694,47,18,26,21
