feature_set,model,threshold,m1_to_m2_balanced_accuracy,m2_to_m1_balanced_accuracy,pooled_balanced_accuracy,min_leave_manufacturer_ba,leave_manufacturer_ba_gap,min_recall,max_normal_fpr,m2_normal_fpr_vs_old_0_60,m2_fpr_improved_vs_old_failure,candidate_pass,decision
standard_common_plus_system,extra_trees_depth5,0.4,0.44999999999999996,0.4401098901098901,0.4936170212765958,0.4401098901098901,0.009890109890109855,0.4230769230769231,0.8,0.7666666666666667,False,False,label_window_recheck_required
standard_optional_dhw,xgboost_depth3,0.4,0.5607287449392713,0.45833333333333337,0.5557087699944843,0.45833333333333337,0.1023954116059379,0.08333333333333333,0.5102040816326531,0.2631578947368421,True,False,label_window_recheck_required
standard_optional_dhw,hist_gradient_boosting,0.5,0.4433198380566802,0.5,0.5799779371207943,0.4433198380566802,0.05668016194331982,0.0,0.42105263157894735,0.42105263157894735,True,False,label_window_recheck_required
standard_common,logistic_balanced,0.4,0.5,0.6214285714285714,0.5546644844517186,0.5,0.12142857142857144,0.5,1.0,1.0,False,False,label_window_recheck_required
standard_common,extra_trees_depth3,0.5,0.45952380952380956,0.48681318681318686,0.5589198036006546,0.45952380952380956,0.027289377289377303,0.23076923076923078,0.7,0.7,False,False,label_window_recheck_required
standard_common_plus_system,extra_trees_depth3,0.4,0.4928571428571428,0.45,0.49116202945990184,0.45,0.042857142857142816,0.5,0.9666666666666667,0.9666666666666667,False,False,label_window_recheck_required
standard_optional_dhw,hist_gradient_boosting,0.4,0.4676113360323887,0.5,0.5557087699944843,0.4676113360323887,0.03238866396761131,0.46153846153846156,1.0,0.5263157894736842,True,False,label_window_recheck_required
standard_common,logistic_balanced,0.5,0.5,0.5972527472527472,0.518657937806874,0.5,0.09725274725274724,0.4230769230769231,1.0,1.0,False,False,label_window_recheck_required
standard_common_plus_system,random_forest_depth3,0.5,0.47619047619047616,0.49945054945054945,0.5736497545008183,0.47619047619047616,0.02326007326007329,0.2857142857142857,0.8857142857142857,0.3333333333333333,True,False,label_window_recheck_required
standard_optional_dhw,logistic_balanced,0.4,0.5,0.5875,0.6643684500827358,0.5,0.08750000000000002,0.375,1.0,1.0,False,False,label_window_recheck_required
standard_optional_dhw,logistic_balanced,0.5,0.5,0.6541666666666667,0.684776613348042,0.5,0.15416666666666667,0.375,1.0,1.0,False,False,label_window_recheck_required
standard_common,random_forest_depth5,0.5,0.45714285714285713,0.4950549450549451,0.6245499181669394,0.45714285714285713,0.037912087912087944,0.38095238095238093,0.9714285714285714,0.4666666666666667,True,False,label_window_recheck_required
standard_common,logistic_balanced,0.6,0.5,0.5824175824175823,0.5405891980360066,0.5,0.08241758241758235,0.3076923076923077,1.0,1.0,False,False,label_window_recheck_required
standard_common_plus_system,logistic_balanced,0.4,0.5,0.5681318681318681,0.52569558101473,0.5,0.06813186813186811,0.3076923076923077,1.0,1.0,False,False,label_window_recheck_required
standard_optional_dhw,logistic_balanced,0.6,0.5,0.6125,0.6577495863210149,0.5,0.11250000000000004,0.2916666666666667,1.0,1.0,False,False,label_window_recheck_required
standard_common_plus_system,logistic_balanced,0.5,0.5,0.5631868131868132,0.5322422258592472,0.5,0.06318681318681318,0.2692307692307692,1.0,1.0,False,False,label_window_recheck_required
standard_common_plus_system,logistic_balanced,0.6,0.5,0.5917582417582418,0.5541734860883797,0.5,0.09175824175824177,0.2692307692307692,1.0,1.0,False,False,label_window_recheck_required
standard_common,random_forest_depth3,0.5,0.44285714285714284,0.4950549450549451,0.5908346972176759,0.44285714285714284,0.052197802197802234,0.2857142857142857,0.9714285714285714,0.4,True,False,label_window_recheck_required
standard_common_plus_system,random_forest_depth5,0.5,0.42857142857142855,0.4950549450549451,0.5783960720130933,0.42857142857142855,0.06648351648351652,0.19047619047619047,0.9714285714285714,0.3333333333333333,True,False,label_window_recheck_required
