evaluation_scope,feature_set,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
M2_to_M1,standard_common,xgboost_depth3,0.4,61,35,26,0.5494505494505495,0.5,0.38461538461538464,0.43478260869565216,0.2857142857142857,25,10,16,10
M2_to_M1,standard_common,xgboost_depth3,0.5,61,35,26,0.573076923076923,0.5625,0.34615384615384615,0.42857142857142855,0.2,28,7,17,9
M2_to_M1,standard_common,xgboost_depth3,0.6,61,35,26,0.43351648351648353,0.14285714285714285,0.038461538461538464,0.06060606060606061,0.17142857142857143,29,6,25,1
M2_to_M1,standard_common_plus_system,dummy_most_frequent,0.4,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M2_to_M1,standard_common_plus_system,dummy_most_frequent,0.5,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M2_to_M1,standard_common_plus_system,dummy_most_frequent,0.6,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M2_to_M1,standard_common_plus_system,extra_trees_depth3,0.4,61,35,26,0.45,0.38235294117647056,0.5,0.43333333333333335,0.6,14,21,13,13
M2_to_M1,standard_common_plus_system,extra_trees_depth3,0.5,61,35,26,0.5346153846153846,0.5,0.2692307692307692,0.35,0.2,28,7,19,7
M2_to_M1,standard_common_plus_system,extra_trees_depth3,0.6,61,35,26,0.5192307692307693,1.0,0.038461538461538464,0.07407407407407407,0.0,35,0,25,1
M2_to_M1,standard_common_plus_system,extra_trees_depth5,0.4,61,35,26,0.4401098901098901,0.36666666666666664,0.4230769230769231,0.39285714285714285,0.5428571428571428,16,19,15,11
M2_to_M1,standard_common_plus_system,extra_trees_depth5,0.5,61,35,26,0.5010989010989011,0.42857142857142855,0.23076923076923078,0.3,0.22857142857142856,27,8,20,6
